N Clusters;Linkage;Coeficiente de Silhueta;Rand Score AGNES;Homogeneidade;Completude
2;ward;0.6139926871811784;0.9521765882941471;0.8384781429810805;0.8388563742393971
2;complete;0.6146617426875972;0.9579034517258629;0.8586671208675151;0.8592628701904345
2;average;0.6061292712235873;0.9408309154577289;0.8280611919983994;0.8301469108385832
3;ward;0.4440952137404938;0.8455142571285643;0.8393398583330519;0.5617734976638817
3;complete;0.4089046100997607;0.8685777888944473;0.8837564657190062;0.6043854122187193
3;average;0.5256424999095528;0.9398934467233617;0.8281454199317811;0.8215912992522906
4;ward;0.2862190003349466;0.7374602301150576;0.8399442612303546;0.42698887169611194
4;complete;0.27434918152766885;0.7759954977488744;0.8865615362934827;0.471116746638873
4;average;0.4361542236854476;0.9380225112556279;0.8281484944067115;0.8066805471876461
8;ward;0.28520354526381053;0.6285232616308154;0.8665925382971045;0.2971844780630477
8;complete;0.2160884416123863;0.6796518259129565;0.8942952233869987;0.3479470846097659
8;average;0.22601388932286587;0.9206888444222111;0.8427368190375211;0.673269255139603
