Iter;Clusters;Linkage;Coef. Silhueta;Rand Score;Homogeneidade;Completude
1;2;ward;0.614;0.9522;0.8385;0.8389
2;2;complete;0.6147;0.9579;0.8587;0.8593
3;2;average;0.6061;0.9408;0.8281;0.8301
4;2;single;0.3081;0.4998;0.0005;0.0806
5;3;ward;0.4441;0.8455;0.8393;0.5618
6;3;complete;0.4089;0.8686;0.8838;0.6044
7;3;average;0.5256;0.9399;0.8281;0.8216
8;3;single;0.2049;0.4998;0.001;0.0807
9;4;ward;0.2862;0.7375;0.8399;0.427
10;4;complete;0.2743;0.776;0.8866;0.4711
11;4;average;0.4362;0.938;0.8281;0.8067
12;4;single;-0.0283;0.4998;0.0025;0.0873
